Time (s),10nm_retentate,10nm_permeate,10nm_cumulative_yield,10nm_sieving_coefficient,180nm_retentate,180nm_permeate,180nm_cumulative_yield,180nm_sieving_coefficient,300nm_retentate,300nm_permeate,300nm_cumulative_yield,300nm_sieving_coefficient
21531.07655382769,0.0017403412607124367,0.0008259658739287565,0.8259658739287564,0.8400264202521974,0.04956506592599475,4.3493407400525545e-05,0.008698681480105108,0.0036362539834095013,0.05999392598161636,6.074018383646199e-07,0.00010123363972743664,4.169632390060471e-05
21541.077053852692,0.0017388766370782962,0.0008261123362921707,0.8261123362921706,0.8400477194649868,0.04956484095718867,4.3515904281133934e-05,0.008703180856226787,0.0036362524326151962,0.059993923723125626,6.076276874382431e-07,0.00010127128123970718,4.1696324807485346e-05
21551.077553877694,0.0017374132111737666,0.0008262586788826236,0.8262586788826235,0.8400689782756224,0.049564615989367296,4.353840106327063e-05,0.008707680212654126,0.003636252620028817,0.0599939214653136,6.078534686410008e-07,0.00010130891144016679,4.1696325714093434e-05
21561.078053902693,0.0017359509816996278,0.0008264049018300375,0.8264049018300373,0.8400902305977224,0.049564391022982275,4.356089770177297e-05,0.008712179540354593,0.0036362528055689475,0.059993919208172576,6.08079182743481e-07,0.00010134653045724683,4.169632662043207e-05
21571.078553927695,0.0017344899473563952,0.0008265510052643608,0.8265510052643606,0.8401114764392895,0.04956416605848643,4.358339415135767e-05,0.008716678830271532,0.003636252989224371,0.05999391695169482,6.083048305185922e-07,0.00010138413841976537,4.169632752650433e-05
21581.079053952697,0.001733030106844318,0.0008266969893155684,0.8266969893155682,0.8401327158083511,0.049563941096333795,4.360589036662086e-05,0.008721178073324171,0.003636253170983795,0.05999391469587259,6.085304127415637e-07,0.00010142173545692728,4.1696328432313364e-05
21591.0795539777,0.0017315714588633855,0.0008268428541136617,0.8268428541136617,0.8401539487129581,0.04956371613697962,4.3628386302038016e-05,0.008725677260407603,0.0036362533508358373,0.059993912440698106,6.087559301899454e-07,0.00010145932169832422,4.1696329337862254e-05
21601.080054002698,0.0017301140021133191,0.0008269885997886682,0.8269885997886681,0.8401751751611856,0.04956349118088037,4.365088191196405e-05,0.00873017638239281,0.0036362535287690376,0.05999391018616357,6.089813836436084e-07,0.00010149689727393474,4.1696330243154155e-05
21611.0805540277,0.001728657735293578,0.0008271342264706425,0.8271342264706424,0.8401963963963905,0.04956326622849367,4.367337715063326e-05,0.008734675430126652,0.003636253641204471,0.05999390793226116,6.092067738847443e-07,0.00010153446231412404,4.169633114819219e-05
21621.0810540527,0.0017272026571033554,0.0008272797342896647,0.8272797342896645,0.8402176119146133,0.049563041280278414,4.369587197215933e-05,0.008739174394431865,0.0036362537144268704,0.05999390567898303,6.094321016978657e-07,0.00010157201694964428,4.1696332052979536e-05
21631.081554077704,0.0017257487662415824,0.000827425123375842,0.827425123375842,0.8402388208983435,0.049562816336694654,4.371836633053531e-05,0.008743673266107062,0.003636253790904436,0.05999390342632131,6.096573678698057e-07,0.00010160956131163428,4.169633295751934e-05
21641.082054102706,0.0017242960614069248,0.0008275703938593077,0.8275703938593075,0.8402600233542602,0.04956259139820367,4.374086017963367e-05,0.008748172035926732,0.003636253870707616,0.05999390117426811,6.098825731897186e-07,0.00010164709553161976,4.169633386181477e-05
21651.082554127704,0.0017228445412977864,0.0008277155458702217,0.8277155458702214,0.8402812192890472,0.049562366465267946,4.376335347320626e-05,0.008752670694641251,0.003636253953907899,0.059993898922815515,6.10107718449079e-07,0.00010168461974151316,4.1696334765869e-05
