L,shear_rate,J_pred_10,J_pred_180,J_pred_300,J_flux,yield,phi_w_10,phi_w_180,phi_w_300
0.2,71000.0,1.4954079070517536e-05,1.4964348383679513e-05,1.4954214018584538e-05,1.4954079070517536e-05,,0.5476422530768695,0.23646289250265362,0.13171652217187307
0.2,71500.0,1.5006935596549278e-05,1.5006946346532032e-05,1.5007062554182231e-05,1.5006935596549278e-05,,0.5502569546205601,0.23518717058945468,0.13135615285314187
0.2,72000.0,1.5053971536415656e-05,1.505401349238233e-05,1.5054027540777795e-05,1.5053971536415656e-05,,0.5520391175121735,0.2337967213425636,0.13096137866198593
0.2,72500.0,1.5098253807625396e-05,1.5098255118403654e-05,1.510758914936938e-05,1.5098253807625396e-05,,0.5534372646354629,0.2323664675693222,0.13055525524209258
0.2,73000.0,1.514716360528232e-05,1.5147231753663222e-05,1.514717447804095e-05,1.514716360528232e-05,,0.55553740173946,0.23107512341051706,0.13018767908192025
0.2,73500.0,1.5193297485318404e-05,1.5193347263188842e-05,1.5193444617519993e-05,1.5193297485318404e-05,,0.5572497049627743,0.22974232412224094,0.12980816055383743
0.2,74000.0,1.52391398134974e-05,1.523916128882638e-05,1.5239345135079674e-05,1.52391398134974e-05,,0.5589395345315902,0.2284282070445688,0.129432438904271
0.2,74500.0,1.5284699697089742e-05,1.5284700270963366e-05,1.528469629861636e-05,1.528469629861636e-05,,0.5606086960034539,0.22713283999511666,0.1290592946017789
0.2,75000.0,1.5324101946265978e-05,1.5308245437767044e-05,1.530838287676372e-05,1.5308245437767044e-05,,0.5590523264984059,0.22537404895730404,0.12855154220906595
0.2,75500.0,1.5374936476692222e-05,1.53749498105053e-05,1.5374953119812765e-05,1.5374936476692222e-05,,0.5638744570347579,0.2245970509888747,0.128328049491572
0.2,76000.0,1.5417196582742e-05,1.5417245140963496e-05,1.5426734631323494e-05,1.5417196582742e-05,,0.5651144877390352,0.22330297583310132,0.12795256229638377
0.2,76500.0,1.5464063726029387e-05,1.54640839448786e-05,1.546408910170979e-05,1.5464063726029387e-05,,0.5670554645804545,0.22212992063705572,0.1276129629032267
0.2,77000.0,1.550702728012514e-05,1.5507039693428414e-05,1.551178817885156e-05,1.550702728012514e-05,,0.5684379552925507,0.22089688599989876,0.12725316749481025
0.2,77500.0,1.5552112638254948e-05,1.5552161964547886e-05,1.5552331807893017e-05,1.5552112638254948e-05,,0.5701537810180274,0.21973165674413953,0.12691471133412668
0.2,78000.0,1.5595395038048885e-05,1.5596107726226764e-05,1.5595554332683145e-05,1.5595395038048885e-05,,0.5716212986994912,0.21854721338465305,0.1265683004268406
0.2,78500.0,1.5639107994708517e-05,1.5639211458088473e-05,1.563915344590451e-05,1.5639107994708517e-05,,0.5731713222689836,0.21739774067256146,0.12622909491676926
0.2,79000.0,1.568222798902199e-05,1.568234617085533e-05,1.5682451746517333e-05,1.568222798902199e-05,,0.574651856189802,0.21625434885340997,0.12589390725265168
0.2,79500.0,1.5725109795632e-05,1.572511404389581e-05,1.572532318977304e-05,1.5725109795632e-05,,0.5761153145586984,0.21512378017743025,0.12556101078664963
0.2,80000.0,1.5767712377310658e-05,1.5767763661981748e-05,1.5767930796951817e-05,1.5767712377310658e-05,,0.5775554040379125,0.21400963199072495,0.1252314998669575
0.2,80500.0,1.5809979437098635e-05,1.581000295819631e-05,1.5810527438760398e-05,1.5809979437098635e-05,,0.5789635574311116,0.21290929246069812,0.1249033625386238
0.2,81000.0,1.585182645711405e-05,1.5852693317074206e-05,1.5852111769163145e-05,1.585182645711405e-05,,0.5803270057077302,0.21182036051470238,0.12458155920516975
0.2,81500.0,1.5894156494434755e-05,1.5894154001573854e-05,1.589416732595313e-05,1.5894154001573854e-05,,0.5817801764501951,0.21075710040520654,0.12426349647800908
0.2,82000.0,1.592984116691198e-05,1.59423910670438e-05,1.593008293951854e-05,1.592984116691198e-05,,0.5822620934761479,0.20958852549849166,0.12391553712951515
0.2,82500.0,1.5977213861927773e-05,1.5977297593848652e-05,1.5977321900487612e-05,1.5977213861927773e-05,,0.584499220086759,0.20865598561482307,0.12363611275711942
0.2,83000.0,1.601846008130855e-05,1.601846862729537e-05,1.601874790826925e-05,1.601846008130855e-05,,0.5858425612893778,0.2076293915183331,0.1233283385738039
0.2,83500.0,1.605342554980697e-05,1.6066246347306535e-05,1.6053728846512925e-05,1.605342554980697e-05,,0.5862682626528274,0.20650256204291437,0.12298967511811042
0.2,84000.0,1.6099482743304572e-05,1.609948279610378e-05,1.610260572831258e-05,1.6099482743304572e-05,,0.5883609593989386,0.2055974084399635,0.12271445946988117
0.2,84500.0,1.6138512756692913e-05,1.6143343784361663e-05,1.6138827043751728e-05,1.6138512756692913e-05,,0.5894245106417568,0.20458102159501365,0.12240867695447862
0.2,85000.0,1.6181075568937704e-05,1.6181096311090047e-05,1.6181358780648426e-05,1.6181075568937704e-05,,0.5910306315540491,0.2036425663983437,0.12212433719754398
0.2,85500.0,1.6219325791588106e-05,1.6219348168958025e-05,1.6227430470412543e-05,1.6219325791588106e-05,,0.5920106373985361,0.20264542271153047,0.12181858301258294
0.2,86000.0,1.6261124846644716e-05,1.6261154964297053e-05,1.6261116549775953e-05,1.6261116549775953e-05,,0.5935356750530919,0.20172526311236647,0.12153930547605304
0.2,86500.0,1.6300819107904977e-05,1.6300914739083203e-05,1.630088493090409e-05,1.6300819107904977e-05,,0.5947627767323,0.2007851419944736,0.1212523117143856
0.2,87000.0,1.6340324574245535e-05,1.6340343313669624e-05,1.6340421921525413e-05,1.6340324574245535e-05,,0.5959777374487214,0.1998543822051043,0.12096810354582244
0.2,87500.0,1.6378969610994103e-05,1.638041105712771e-05,1.637907859066863e-05,1.6378969610994103e-05,,0.5970801185959804,0.19892408198701297,0.12068329158585418
0.2,88000.0,1.6404097240550567e-05,1.6436576796602464e-05,1.640445528623822e-05,1.6404097240550567e-05,,0.596186357159216,0.19778753683930628,0.12033449600746315
0.2,88500.0,1.6457609479632404e-05,1.6457699368762543e-05,1.6457894979248764e-05,1.6457609479632404e-05,,0.5995326529108236,0.19713471452117134,0.12013281442031976
0.2,89000.0,1.6496315804396623e-05,1.6496387660035348e-05,1.6496716119616415e-05,1.6496315804396623e-05,,0.6006904229951987,0.1962495483003159,0.1198601966724276
0.2,89500.0,1.6534829756505063e-05,1.6534867419670134e-05,1.6534905815084623e-05,1.6534829756505063e-05,,0.6018346535955259,0.19537343033054003,0.11958811063468792
